Iamb,,,,,,,,,,,,
critical edition,hyphenation,manuscript version,epigrame no.,verse no.,metrical pattern,ms. metrical pattern,caesura,word before caesura,long syllabe before caesura,Porson bridge,"paroxyton word, 6th foot",homodynia
,,,,,,,,"oxiton=1, parox.=2, proparox.=3, perisp.=4, properisp.=5",,,,
"τὸν πρὶν λαχόντα κλήσεως χρυσωνύμου,","τὸν πρὶν λα#χόν#τα κλή#σε#ως χρυ#σω#νύ#μου,",,106,15,SISIII,,5,2,1,,1,1 2 3
ὡς τὸν θρόνον ἔχοντα Χριστοῦ κυρίου,ὡς τὸν θρό#νον ἔ#χον#τα Χρισ#τοῦ κυ#ρί#ου,,106,16,SIISSI,,7,3,1,1,1,1
"Χριστοῦ τε μητρός, χριστοκηρύκων τύπους","Χρισ#τοῦ τε μητ#ρός, χρισ#το#κη#ρύ#κων τύ#πους","χριστὸν τε μητρός, χριστοκηρύκων τύπους",106,17,SISIII,IISIII,5,1,1,,1,1
καὶ τοῦ σοφουργοῦ Μιχαὴλ τὴν εἰκόνα.,καὶ τοῦ σο#φουρ#γοῦ Μι#χα#ὴλ τὴν εἰ#κό#να.,,106,18,SISSSP,,5,4,1,1,1,1 4
Ὡς τὴν φαεινὴν ἀξίαν τῆς εἰκόνος,Ὡς τὴν φα#ει#νὴν ἀ#ξί#αν τῆς εἰ#κό#νος,,107,1,SISISP,,5,1,1,1,1,1
"τῆς πρὶν φυλάττων, Μιχαὴλ αὐτοκράτωρ,","τῆς πρὶν φυ#λάτ#των, Μι#χα#ὴλ αὐ#το#κρά#τωρ,",,107,2,SISSSI,,5,2,1,,1,1 2 4
"κρατῶν τε πάντων σαρκικῶν μολυσμάτων,","κρα#τῶν τε πάν#των σαρ#κι#κῶν μο#λυσ#μά#των,",,107,3,IISIII,,5,2,1,,1,1 2 4
"ἐξεικονίζεις καὶ γραφῇ τὸν δεσπότην,","ἐξ#ει#κο#νί#ζεις καὶ γρα#φῇ τὸν δεσ#πό#την,",,107,4,SISISI,,5,2,1,1,1,2 3 4
ἔργῳ κρατύνων τοὺς λόγους τῶν δογμάτων.,ἔρ#γῳ κρα#τύ#νων τοὺς λό#γους τῶν δογ#μά#των.,,107,5,SISISI,,5,2,1,1,1,2 3
Πτωθέντα κοσμεῖ τὸν ναὸν τῆς Παρθένου,Πτω#θέν#τα κοσ#μεῖ τὸν να#ὸν τῆς Παρ#θέ#νου,,109,1,SISSSI,,5,4,1,1,1,1 3 4
"Bασίλειός τε σὺν Κωνσταντίνῳ, Λέων.","Bα#σί#λει#ός τε σὺν Κων#σταν#τί#νῳ, Λέ#ων.",,109,2,PSISSI,,5,2,1,,1,1 2 3
"Ἐκ γῆς ἀνελθὼν πατρικόν σου πρὸς θρόνον,","Ἐκ γῆς ἀ#νελ#θὼν πατ#ρι#κόν σου πρὸς θρό#νον,",,110,1,SISISP,,5,1,1,1,1,1 4 5
"τὸν μητρικόν σου, σῶτερ, οἶκον δεικνύεις","τὸν μη#τρι#κόν σου, σῶ#τερ, οἶ#κον δεικ#νύ#εις",,110,2,SISISI,,5,2,1,1,1,2 3 4
πηγὴν νοητὴν κρειττόνων χαρισμάτων.,πη#γὴν νο#η#τὴν κρειτ#τό#νων χα#ρισ#μά#των.,,110,3,SISISI,,5,1,1,,1,1
"Ὁ νεκρὸς Ἅιδης ἐξεμεῖ τεθνηκότας,","Ὁ νεκ#ρὸς Ἅι#δης ἐξ#ε#μεῖ τεθ#νη#κό#τας,",,111,1,IISISP,,5,2,1,,1,2 4
κάθαρσιν εὑρὼν σάρκα τὴν τοῦ δεσπότου.,κά#θαρ#σιν εὑ#ρὼν σάρ#κα τὴν τοῦ δεσ#πό#του.,,111,2,IISISI,,5,1,1,1,1,3 4
Λάμψας ὁ Χριστὸς ἐν Θαβὼρ φωτὸς πλέον,Λάμ#ψας ὁ Χρισ#τὸς ἐν Θα#βὼρ φω#τὸς πλέ#ον,,112,1,SIIISP,,5,1,0,,1,4 5
