critical edition,,mans. version,epigramme no.,verse no.,metrical pattern,final word in the first hemistich,,,,,final word in the second hemistich,,,,homodynia,,,,,,,,,,,,
text editat,text editat metric,text manuscris,,,,oxiton,parox.,proparox.,perisp.,properisp.,oxiton,parox.,proparox.,perisp.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
χρώμασι πορθμεῦσαι τὴν φρενὸς ἱκεσίην.,χρώ#μα#σι πορ#θμεῦ#σαι τὴν φρε#νὸς ἱ#κε#σί#ην.,,34,8,DS_ ‖ DD_ ,,,,,1,,1,,,_1 4,,,,,,,,,,,,
"Ῥουφῖνος Φαρίης, Ἀγαθίης Ἀσίης,","Ῥου#φῖ#νος Φα#ρί#ης, Ἀ#γα#θί#ης Ἀ#σί#ης,",,35,2,SD_ ‖ DD_ ,,1,,,,,1,,,,,,,,,,,,,,,
"ἄνθεσαν εἰς σέ, μάκαρ, τὴν σφετέρην γραφίδα,","ἄν#θε#σαν εἰς σέ, μά#καρ, τὴν σφε#τέ#ρην γρα#φί#δα,",,35,4,DD_ ‖ DDÈ ,,1,,,,,1,,,_1 4,,,,,,,,,,,,
ἐλπίδας ἰθύνων ἐσσομένου βιότου.,ἐλ#πί#δας ἰ#θύ#νων ἐσ#σο#μέ#νου βι#ό#του.,,35,6,DS_ ‖DD_ ,,1,,,,,1,,,,,,,,,,,,,,,
"ἀσκοπος, ἀλλὰ βροτῶν δῶρα πέλουσι τάδε.","ἀσ#κο#πος, ἀλ#λὰ βρο#τῶν δῶ#ρα πέ#λου#σι τά#δε.",,36,2,DD_ ‖ DDÈ,,,,1,,,1,,,_1 3 4,,,,,,,,,,,,
καὶ δὶς ἀεθλεύει πρὸς θρόνον ἀνθυπάτων.,καὶ δὶς ἀ#εθ#λεύ#ει πρὸς θρό#νον ἀν#θυ#πά#των.,,36,4,DS_ ‖ DD_ ,,1,,,,,,,1,_1 4 6,,,,,,,,,,,,
χρώμασι μιμηλὴν ἀντετύπωσε χάριν.,χρώ#μα#σι μι#μη#λὴν ἀν#τε#τύ#πω#σε χά#ριν.,,36,6,DS_ ‖DDÈ,1,,,,,,1,,,_1 3,,,,,,,,,,,,
παρθενικὴν κατέβης ἄψοφον ἴχνος ἔχων.,παρ#θε#νι#κὴν κα#τέ#βης ἄ#ψο#φον ἴχ#νος ἔ#χων.,,37,2,DD_ ‖ DD_ ,,1,,,,,1,,,_2 4 5,,,,,,,,,,,,
οὐρανὸς ἐργασίη τοῦδε πέλει βρέφεος.,οὐ#ρα#νὸς ἐρ#γα#σί#η τοῦ#δε πέ#λει βρέ#φε#ος.,,38,2,DD_ ‖ DDÈ,,1,,,,,,1,,_4,,,,,,,,,,,,
οὕνεκεν ἄνθρωπος καὶ θεὸς ἓν γέγονε.,οὕ#νε#κεν ἄν#θρω#πος καὶ θε#ὸς ἓν γέ#γο#νε.,,39,2,DS_ ‖ DDÈ,,,1,,,,,1,,_1 2 4 5,,,,,,,,,,,,
Λάζαρον ἐκ νεκύων ἐς φάος αὐτὸς ἄγει.,Λά#ζα#ρον ἐκ νε#κύ#ων ἐς φά#ος αὐ#τὸς ἄ#γει.,,50,2,DD_ ‖ DD_ ,,1,,,,,1,,,_1,,,,,,,,,,,,
"Χριστός, ἐὼν ἱερεύς, αὐτὸς ἐὼν θυσίη.","Χρισ#τός, ἐ#ὼν ἱ#ε#ρεύς, αὐ#τὸς ἐ#ὼν θυ#σί#η.",,53,2,DD_ ‖ DD_ ,1,,,,,,1,,,_2 3 5,,,,,,,,,,,,
πλῦνον ἐμῆς ψυχῆς πᾶσαν ἀτασθαλίην.,πλῦ#νον ἐ#μῆς ψυ#χῆς πᾶ#σαν ἀ#τασ#θα#λί#ην.,,54,2,DS_ ‖ DD_ ,,,,1,,,1,,,_1 2 3 4,,,,,,,,,,,,
"Ἵλαθι, τῆς καθαρῆς δέσποτα παρθενίης.","Ἵ#λα#θι, τῆς κα#θα#ρῆς δέσ#πο#τα παρ#θε#νί#ης.",,55,2,DD_ ‖ DD_ ,,,,1,,,1,,,_1 2 3 4,,,,,,,,,,,,
"ἀμνοῦ· ὀλοθρεύων, φεῦγε, μὴ ἐγγὺς ἴθι.","ἀμ#νοῦ· ὀ#λοθ#ρεύ#ων, φεῦ#γε, μὴ ἐγ#γὺς ἴ#θι.",,57,2,DS_ ‖ DDÈ ,,1,,,,,1,,,_4,,,,,,,,,,,,
ἄβροχος αὐτὸς ὅδε. Κρύπτε νόῳ κρύφια.,ἄβ#ρο#χος αὐ#τὸς ὅ#δε. Κρύπ#τε νό#ῳ κρύ#φι#α.,ἄβροχος αὐτὸς ώδε. Κρύπτε νόῳ κρύφια.,58,2,DD_ ‖ DDÈ,,1,,,,,1,,,_1 4,,,,,,,,,,,,
ἃ προτυποῖ μούνοις εὐσεβέεσσι λόγον.,ἃ προ#τυ#ποῖ μού#νοις εὐ#σε#βέ#εσ#σι λό#γον.,ἃ προτυποῖ μούνοις εὐσεβέεσσι λόγοις.,59,2,DS_ ‖ DDÈ,,1,,,,,1,,,_1 2,,,,,,,,,,,,
Τῷδε τύπῳ Ἀμαλὴκ ὄλλυται ἀμφότερος.,Τῷ#δε τύ#πῳ Ἀ#μα#λὴκ ὄλ#λυ#ται ἀμ#φό#τε#ρος.,,60,2,DD_ ‖ DDÈ,1,,,,,,,1,,_1 3 4,,,,,,,,,,,,
νυμφίου ἀψευδοῦς οὕνεκέν ἐσσι τύπος. ,νυμ#φί#ου ἀ#ψευ#δοῦς οὕ#νε#κέν ἐσ#σι τύ#πος. ,,61,2,DS_ ‖ DDÈ ,,,,1,,,1,,,_3 4,,,,,,,,,,,,
σὸς τύπος ἡ λάρναξ τῇδε λοεσσομένου.,σὸς τύ#πος ἡ λάρ#ναξ τῇ#δε λο#εσ#σο#μέ#νου.,σὸς τύπος ἡ λάρναξ τῇδε λοεσσόμενον.,62,2,DS_ ‖ DD_ ,,1,,,,,1,,,_1 4,,,,,,,,,,,,
"Ἐξ ἐθνῶν καὶ ἐγώ, τοὔνεκεν οἶδα τάδε.","Ἐξ ἐθ#νῶν καὶ ἐ#γώ, τοὔ#νε#κεν οἶ#δα τά#δε.","Ἐξ ἐθνῶν καὶ ἐγώ, τοὔνεκεν οἶδεν τάδε.",63,2,SD_ ‖ DDÈ,1,,,,,,1,,,_2 3 4 5,,,,,,,,,,,,
Χριστοῦ τοσσατίων ἴσθι τύπους ἑτάρων.,Χρισ#τοῦ τοσ#σα#τί#ων ἴσ#θι τύ#πους ἑ#τά#ρων.,,64,2,SD_ ‖ DD_,,1,,,,,1,,,_4,,,,,,,,,,,,
"νοῦς ὁράᾳ θυσίην, ἧς τόδε γράμμα τύπος.","νοῦς ὁ#ρά#ᾳ θυ#σί#ην, ἧς τό#δε γράμ#μα τύ#πος.",,65,2,DD_ ‖ DDÈ,,1,,,,,1,,,_1 4 5,,,,,,,,,,,,
ὡς τίς ἐὼν παρέχεις; ― Ὡς τύπος ἀτρεκίης.,ὡς τίς ἐ#ὼν πα#ρέ#χεις; ― Ὡς τύ#πος ἀτ#ρε#κί#ης.,,66,2,DD_ ‖ DD_,,1,,,,,1,,,_2,,,,,,,,,,,,
ἐς φύσιν ἀτρεκέως ἤλυθεν ἀνδρομέην.,ἐς φύ#σιν ἀτ#ρε#κέ#ως ἤ#λυ#θεν ἀν#δρο#μέ#ην.,,67,2,DD_ ‖ DD_,,1,,,,,1,,,_4,,,,,,,,,,,,
εὐφραίνει πατέρα νοῦς θεὸν εἰσορόων.,εὐφ#ραί#νει πα#τέ#ρα νοῦς θε#ὸν εἰ#σο#ρό#ων.,,68,2,SDÈ ‖ DD_,,1,,,,,1,,,_4,,,,,,,,,,,,
"κάτθορεν ἐξ ὕψους, σώματος οὐ καθαροῦ.","κάτ#θο#ρεν ἐξ ὕ#ψους, σώ#μα#τος οὐ κα#θα#ροῦ.",,69,2,DS_ ‖ DD_,,1,,,,,,,1,_1 4 6,,,,,,,,,,,,
